email;sex;age;race;marital-status;education;native-country;workclass;occupation;salary-class
martha81@ramirez-suarez.com;Male;39;White;Never-married;Bachelors;United-States;State-gov;Adm-clerical;<=50K
janice09@craig.biz;Male;50;White;Married-civ-spouse;Bachelors;United-States;Self-emp-not-inc;Exec-managerial;<=50K
samuelspencer@hotmail.com;Male;38;White;Divorced;HS-grad;United-States;Private;Handlers-cleaners;<=50K
enielsen@fields-miller.com;Male;53;Black;Married-civ-spouse;11th;United-States;Private;Handlers-cleaners;<=50K
paul30@yahoo.com;Female;28;Black;Married-civ-spouse;Bachelors;Cuba;Private;Prof-specialty;<=50K
chelseysmith@yahoo.com;Female;37;White;Married-civ-spouse;Masters;United-States;Private;Exec-managerial;<=50K
perkinsjames@hotmail.com;Female;49;Black;Married-spouse-absent;9th;Jamaica;Private;Other-service;<=50K
wrightethan@williams.info;Male;52;White;Married-civ-spouse;HS-grad;United-States;Self-emp-not-inc;Exec-managerial;>50K
cainamy@hotmail.com;Female;31;White;Never-married;Masters;United-States;Private;Prof-specialty;>50K
brittanymarshall@gmail.com;Male;42;White;Married-civ-spouse;Bachelors;United-States;Private;Exec-managerial;>50K
shannon66@martin-moore.com;Male;37;Black;Married-civ-spouse;Some-college;United-States;Private;Exec-managerial;>50K
callahanryan@yahoo.com;Male;30;Asian-Pac-Islander;Married-civ-spouse;Bachelors;India;State-gov;Prof-specialty;>50K
staceymendez@moore-fields.com;Female;23;White;Never-married;Bachelors;United-States;Private;Adm-clerical;<=50K
william68@guerra.com;Male;32;Black;Never-married;Assoc-acdm;United-States;Private;Sales;<=50K
charles13@glenn.biz;Male;34;Amer-Indian-Eskimo;Married-civ-spouse;7th-8th;Mexico;Private;Transport-moving;<=50K
ssilva@gmail.com;Male;25;White;Never-married;HS-grad;United-States;Self-emp-not-inc;Farming-fishing;<=50K
scottpaul@hotmail.com;Male;32;White;Never-married;HS-grad;United-States;Private;Machine-op-inspct;<=50K
brendahernandez@gmail.com;Male;38;White;Married-civ-spouse;11th;United-States;Private;Sales;<=50K
josephgilbert@johnson.net;Female;43;White;Divorced;Masters;United-States;Self-emp-not-inc;Exec-managerial;>50K
